rid	speed	provider	name	when_cash
R0806	weeks	BeFrugal	BeFrugal — utility/energy rebate	
R1192	weeks	Share	Share — isp signup promo	
R0789	weeks	T-Mobile	T-Mobile — utility/energy rebate	
R0815	weeks	Strike	Strike — utility/energy rebate	
R0823	weeks	PrizeRebel	PrizeRebel — utility/energy rebate	
R0824	weeks	EarnApp (by Bright Data)	EarnApp (by Bright Data) — utility/energy rebate	
R0814	weeks	Turo	Turo — utility/energy rebate	
R0774	weeks	Austin Utilities	Austin Utilities — utility/energy rebate	
R0778	weeks	Florida Power & Light Company	Florida Power & Light Company — utility/energy rebate	
R0781	weeks	Fcc	Fcc — utility/energy rebate	
R0792	weeks	Masssave	Masssave — utility/energy rebate	
R0796	weeks	Sd	Sd — utility/energy rebate	
R0799	weeks	Austinenergy	Austinenergy — utility/energy rebate	
R0816	weeks	Gemini	Gemini — utility/energy rebate	
R0776	weeks	Duke Energy	Duke Energy — utility/energy rebate	
R0795	weeks	Consumersenergystore	Consumersenergystore — utility/energy rebate	
R0786	weeks	Fi	Fi — utility/energy rebate	
R0769	weeks	PSE&G (Public Service Electric & Gas)	PSE&G (Public Service Electric & Gas) — utility/energy rebate	
R0777	weeks	Southern California Edison	Southern California Edison — utility/energy rebate	
R0783	weeks	Consumersenergystore	Consumersenergystore — utility/energy rebate	
R0808	weeks	YNAB (You Need A Budget)	YNAB (You Need A Budget) — utility/energy rebate	
R0810	weeks	Pactimo	Pactimo — utility/energy rebate	
R0817	weeks	Rover	Rover — utility/energy rebate	
R0820	weeks	Respondent.io	Respondent.io — utility/energy rebate	
R0764	weeks	Energy Trust of Oregon	Energy Trust of Oregon — utility/energy rebate	
R0775	weeks	Austin Utilities	Austin Utilities — utility/energy rebate	
R0794	weeks	T-Mobile	T-Mobile — utility/energy rebate	
R0766	weeks	Dominion Energy	Dominion Energy — utility/energy rebate	
R0758	weeks	Georgia Power	Georgia Power — utility/energy rebate	
R0760	weeks	MidAmerican Energy Company	MidAmerican Energy Company — utility/energy rebate	
R0768	weeks	National Grid / Mass Save	National Grid / Mass Save — utility/energy rebate	
R0770	weeks	Lansing Board of Water & Light (BWL)	Lansing Board of Water & Light (BWL) — utility/energy rebate	
R0790	weeks	Nationalgridus	Nationalgridus — utility/energy rebate	
R0800	weeks	Socalwatersmart	Socalwatersmart — utility/energy rebate	
R0818	weeks	PayPal	PayPal — utility/energy rebate	
R6376	weeks	Wowway	Wowway — isp signup promo	
R6356	weeks	Redpocket	Redpocket — isp signup promo	
R6341	weeks	Help	Help — isp signup promo	
R6378	weeks	Ziplyfiber	Ziplyfiber — isp signup promo	
R6359	weeks	H2Owireless	H2Owireless — isp signup promo	
R6399	weeks	Kctc	Kctc — isp signup promo	
R6372	weeks	Cox	Cox — isp signup promo	
R6367	weeks	Rittercommunications	Rittercommunications — isp signup promo	
R6374	weeks	Home	Home — isp signup promo	
R6352	weeks	Straighttalk	Straighttalk — isp signup promo	
R6389	weeks	Genmobile	Genmobile — isp signup promo	
R1193	weeks	Optimum	Optimum — isp signup promo	
R1194	weeks	Astound	Astound — isp signup promo	
R6370	weeks	Centurylink	Centurylink — isp signup promo	
R6385	weeks	Gokinetic	Gokinetic — isp signup promo	
R6384	weeks	Wisperisp	Wisperisp — isp signup promo	
R6349	weeks	Tello	Tello — isp signup promo	
R6354	weeks	Boostmobile	Boostmobile — isp signup promo	
R6377	weeks	Sparklight	Sparklight — isp signup promo	
R6363	weeks	Twigby	Twigby — isp signup promo	
R6386	weeks	Gokinetic	Gokinetic — isp signup promo	
R6375	weeks	Midco	Midco — isp signup promo	
R6397	weeks	Gvec	Gvec — isp signup promo	
R6398	weeks	Shawnee	Shawnee — isp signup promo	
R1195	weeks	Gatewayfiber	Gatewayfiber — isp signup promo	
R6344	weeks	Astound	Astound — isp signup promo	
R6362	weeks	Patriotmobile	Patriotmobile — isp signup promo	
R6379	weeks	Breezeline	Breezeline — isp signup promo	
R6391	weeks	Dftcommunications	Dftcommunications — isp signup promo	
R6392	weeks	Directcomfiber	Directcomfiber — isp signup promo	
R6396	weeks	Glofiber	Glofiber — isp signup promo	
R6361	weeks	Puretalk	Puretalk — isp signup promo	
R6380	weeks	Tdstelecom	Tdstelecom — isp signup promo	
R6351	weeks	Usmobile	Usmobile — isp signup promo	
R6358	weeks	Ultramobile	Ultramobile — isp signup promo	
